iter	MAE	RMSE
1500	0.1452515596	0.225390542
1505	0.1451852005	0.2252896773
1510	0.1451191989	0.2251688717
1515	0.1450478749	0.2250562053
1520	0.1449742128	0.2249495736
1525	0.1448806498	0.2248149052
1530	0.1448281126	0.2247121144
1535	0.1447711607	0.2246215301
1540	0.1447102203	0.2244726041
1545	0.144645484	0.2243741311
1550	0.1445881332	0.2242730009
1555	0.1445218566	0.2241581586
1560	0.1444517566	0.2240385154
1565	0.1443901835	0.2239373181
1570	0.1443212938	0.2238101599
1575	0.1442653458	0.2237112108
1580	0.1442154217	0.2236104112
1585	0.1441603815	0.2235113506
1590	0.1440926332	0.2234005033
1595	0.1440144601	0.2232972922
1600	0.1439692809	0.2232215297
1605	0.1438997585	0.223114129
1610	0.1438428615	0.2230190492
1615	0.1437790192	0.222906831
1620	0.143712385	0.222807581
1625	0.1436506057	0.2227153036
1630	0.1435946715	0.2226043842
1635	0.1435276659	0.2225159086
1640	0.1434666155	0.2224251487
1645	0.143422564	0.2223480684
1650	0.1433606334	0.2222521658
1655	0.1433115345	0.2221464788
1660	0.1432537711	0.2220609795
1665	0.143191813	0.2219677565
1670	0.1431187836	0.2218512483
1675	0.1430512967	0.2217388346
1680	0.1429930656	0.2216513243
1685	0.1429379841	0.2215559969
1690	0.1428840166	0.2214660856
1695	0.1428217972	0.2213699096
1700	0.1427500743	0.2212642363
1705	0.1426615862	0.2211399878
1710	0.1425870164	0.2210157628
1715	0.1425184568	0.2208977641
1720	0.1424553984	0.2207666514
1725	0.1423979513	0.2206640939
1730	0.1423356356	0.2205676227
1735	0.1422777347	0.2204758581
1740	0.1422223643	0.2203910055
1745	0.1421622491	0.2203011338
1750	0.1421091893	0.2202246059
1755	0.1420361461	0.2201113614
1760	0.141980542	0.2200236101
1765	0.141912835	0.2199270144
1770	0.1418507256	0.2198450858
1775	0.1417978446	0.2197319039
1780	0.1417330671	0.2195927675
1785	0.1416710814	0.2194988487
1790	0.1416210061	0.2194076321
1795	0.1415556234	0.2193173967
1800	0.1414776291	0.2192038325
1805	0.1414206909	0.2190939052
1810	0.1413538228	0.2189682289
1815	0.1412972697	0.2188798937
1820	0.1412381585	0.2187876569
1825	0.1411792948	0.2186912463
1830	0.1411254098	0.2185799209
1835	0.1410854156	0.2185161021
1840	0.1410269645	0.2184164706
1845	0.1409730245	0.2183265184
1850	0.1409145597	0.2182386087
1855	0.1408479942	0.2181332942
1860	0.1407822952	0.2180207692
1865	0.1407281489	0.2179213213
1870	0.1406792563	0.2178146538
1875	0.1406343109	0.2177331304
1880	0.1405755435	0.217654507
1885	0.1405320559	0.2175739982
1890	0.1404625611	0.2174613103
1895	0.1404141773	0.2173743636
1900	0.1403551349	0.2172643811
1905	0.1402976328	0.2171640169
1910	0.1402437891	0.2170736328
1915	0.1401824773	0.2169846214
1920	0.1401429369	0.2169086591
1925	0.1400900146	0.2168175263
1930	0.1400273138	0.2167243563
1935	0.139969688	0.2165947811
1940	0.1399045941	0.2164898184
1945	0.1398578608	0.2163966343
1950	0.1398106873	0.2163254643
1955	0.1397535016	0.2162275186
1960	0.1396824251	0.2161300217
1965	0.1396351829	0.2160315497
1970	0.1395811053	0.2159466067
1975	0.1395131646	0.2158341444
1980	0.1394609987	0.215751052
1985	0.1394098643	0.2156590076
1990	0.1393357759	0.21555528
1995	0.1392860581	0.2154662477
2000	0.1392222571	0.2153612778
2005	0.1391544951	0.215255474
2010	0.1390886723	0.2151741715
2015	0.1390265354	0.2150600902
2020	0.1389746309	0.2149686056
2025	0.138916111	0.2148979786
2030	0.1388674247	0.2148000223
2035	0.1388214341	0.2147346158
2040	0.1387548686	0.2146356959
2045	0.1387135265	0.2145648231
2050	0.138671373	0.2144921797
2055	0.1386214489	0.2144143643
2060	0.1385620351	0.2143253954
2065	0.1385050282	0.2142421673
2070	0.1384533162	0.2141304315
2075	0.1383984684	0.2140423486
2080	0.138357649	0.2139560776
2085	0.1383001881	0.2138501493
2090	0.1382498377	0.2137699771
2095	0.1381835886	0.213661768
2100	0.1381350673	0.2135710529
2105	0.1380853633	0.2134735748
2110	0.1380393726	0.2134064891
2115	0.1379756954	0.2133104913
2120	0.1379049077	0.2132101527
2125	0.1378640882	0.2131420403
2130	0.1378056784	0.2130580352
2135	0.1377483414	0.2129767172
2140	0.1377086359	0.2129060351
2145	0.1376579554	0.2128337301
2150	0.1376087052	0.2127542092
2155	0.1375568557	0.2126462998
2160	0.137504456	0.2125643471
2165	0.1374521664	0.2124793045
2170	0.1373912398	0.2123852755
2175	0.1373414532	0.2122946627
2180	0.1372677774	0.2121884155
2185	0.1371954081	0.2120724281
2190	0.1371544648	0.211998363
2195	0.1370812016	0.2118775006
2200	0.1370433115	0.2118157369
2205	0.136987061	0.2117089488
2210	0.1369229849	0.2116154225
2215	0.136868701	0.2115305185
2220	0.1368154212	0.2114416127
2225	0.1367668587	0.2113684246
2230	0.1366904047	0.2112526299
2235	0.1366263836	0.2111397924
2240	0.1365741627	0.2110652371
2245	0.1365334533	0.2109739026
2250	0.1364769276	0.2108921723
2255	0.1364157672	0.2107841334
2260	0.1363624736	0.2106817592
2265	0.1363045864	0.2105834499
2270	0.1362526819	0.2105141365
2275	0.136204532	0.2104532878
2280	0.1361580599	0.2103761276
2285	0.1361086172	0.2102952441
2290	0.1360750594	0.2102334325
2295	0.1360210781	0.2101575659
2300	0.1359618569	0.2100444184
2305	0.1359214225	0.2099751482
2310	0.1358645531	0.209872404
2315	0.1358214368	0.2098104187
2320	0.1357539362	0.2097090367
2325	0.1356991985	0.2096164551
2330	0.1356548994	0.2095409804
2335	0.1356015921	0.209440141
2340	0.1355543086	0.2093701206
2345	0.1354955412	0.2092796399
2350	0.1354517786	0.2092091632
2355	0.1353908794	0.2091139269
2360	0.1353432246	0.2090386079
2365	0.1352809639	0.2089476875
2370	0.1352309986	0.2088680369
2375	0.1351876073	0.2088010604
2380	0.135126048	0.2086993857
2385	0.1350826842	0.2086167396
2390	0.1350456331	0.2085463109
2395	0.1349985009	0.2084621032
2400	0.1349515338	0.2083793134
2405	0.1348987628	0.2083166033
2410	0.134836282	0.2082391054
2415	0.1347896587	0.2081628175
2420	0.1347300249	0.2080783554
2425	0.1346837591	0.2080076205
2430	0.1346262845	0.2079281554
2435	0.1345804864	0.2078454259
2440	0.1345373014	0.2077614968
2445	0.1344987787	0.2076955707
2450	0.134449446	0.2076127982
2455	0.1344166997	0.2075559858
2460	0.1343653315	0.2074805322
